det(intake-3, The-1)
case(neutrophils-8, of-7)
nmod(release-6, neutrophils-8)
punct(neutrophils-8, ,-9)
case(lithium-12, such-10)
mwe(such-10, as-11)
nmod(neutrophils-8, lithium-12)
punct(neutrophils-8, ,-13)
aux(used-16, should-14)
auxpass(used-16, be-15)
root(ROOT-0, used-16)
case(caution-18, with-17)
nmod(used-16, caution-18)
punct(used-16, .-19)

compound(E2-2, PROSTIN-1)
nsubj(augment-4, E2-2)
aux(augment-4, may-3)
root(ROOT-0, augment-4)
det(activity-6, the-5)
dobj(augment-4, activity-6)
case(drugs-10, of-7)
amod(drugs-10, other-8)
amod(drugs-10, oxytocic-9)
nmod(activity-6, drugs-10)
punct(augment-4, .-11)

amod(use-2, Concomitant-1)
nsubjpass(recommended-9, use-2)
case(agents-6, with-3)
amod(agents-6, other-4)
amod(agents-6, oxytocic-5)
nmod(use-2, agents-6)
auxpass(recommended-9, is-7)
neg(recommended-9, not-8)
root(ROOT-0, recommended-9)
punct(recommended-9, .-10)

nsubjpass(bound-4, Ketorolac-1)
auxpass(bound-4, is-2)
advmod(bound-4, highly-3)
root(ROOT-0, bound-4)
case(protein-8, to-5)
amod(protein-8, human-6)
compound(protein-8, plasma-7)
nmod(bound-4, protein-8)
punct(mean-10, -LRB--9)
dep(protein-8, mean-10)
nummod(%-12, 99.2-11)
dep(mean-10, %-12)
punct(mean-10, -RRB--13)
punct(bound-4, .-14)

root(ROOT-0, Warfarin-1)
punct(Warfarin-1, ,-2)
conj(Warfarin-1, Digoxin-3)
punct(Warfarin-1, ,-4)
conj(Warfarin-1, Salicylate-5)
punct(Warfarin-1, ,-6)
cc(Warfarin-1, and-7)
conj(Warfarin-1, Heparin-8)
det(binding-12, The-9)
amod(binding-12, in-10)
dep(in-10, vitro-11)
nsubjpass(reduced-21, binding-12)
case(warfarin-14, of-13)
nmod(binding-12, warfarin-14)
case(proteins-17, to-15)
compound(proteins-17, plasma-16)
nmod(binding-12, proteins-17)
auxpass(reduced-21, is-18)
advmod(slightly-20, only-19)
advmod(reduced-21, slightly-20)
ccomp(Heparin-8, reduced-21)
case(tromethamine-24, by-22)
compound(tromethamine-24, ketorolac-23)
nmod(reduced-21, tromethamine-24)
punct(control-28, -LRB--25)
compound(%-27, 99.5-26)
amod(control-28, %-27)
dep(tromethamine-24, control-28)
cc(control-28, vs-29)
nummod(%-31, 99.3-30)
conj(control-28, %-31)
punct(control-28, -RRB--32)
advmod(reach-37, when-33)
compound(concentrations-36, ketorolac-34)
compound(concentrations-36, plasma-35)
nsubj(reach-37, concentrations-36)
acl:relcl(tromethamine-24, reach-37)
nummod(g-41, 5-38)
compound(g-41, to10-39)
compound(g-41, m-40)
dobj(reach-37, g-41)
punct(g-41, /-42)
dep(g-41, mL-43)
punct(Warfarin-1, .-44)

nsubj(alter-4, Ketorolac-1)
aux(alter-4, does-2)
neg(alter-4, not-3)
root(ROOT-0, alter-4)
compound(binding-7, digoxin-5)
compound(binding-7, protein-6)
dobj(alter-4, binding-7)
punct(alter-4, .-8)

amod(studies-3, In-1)
dep(In-1, vitro-2)
nsubj(indicate-4, studies-3)
root(ROOT-0, indicate-4)
mark(reduced-25, that-5)
punct(reduced-25, ,-6)
case(concentrations-9, at-7)
amod(concentrations-9, therapeutic-8)
nmod(reduced-25, concentrations-9)
case(salicylate-11, of-10)
nmod(concentrations-9, salicylate-11)
punct(g-15, -LRB--12)
nummod(g-15, 300-13)
compound(g-15, m-14)
dep(salicylate-11, g-15)
punct(g-15, /-16)
dep(g-15, mL-17)
punct(g-15, -RRB--18)
punct(reduced-25, ,-19)
det(binding-21, the-20)
nsubjpass(reduced-25, binding-21)
case(ketorolac-23, of-22)
nmod(binding-21, ketorolac-23)
auxpass(reduced-25, was-24)
ccomp(indicate-4, reduced-25)
case(%-29, from-26)
advmod(99.2-28, approximately-27)
nummod(%-29, 99.2-28)
nmod(reduced-25, %-29)
case(%-32, to-30)
nummod(%-32, 97.5-31)
nmod(reduced-25, %-32)
punct(reduced-25, ,-33)
advcl(reduced-25, representing-34)
det(increase-38, a-35)
amod(increase-38, potential-36)
amod(increase-38, twofold-37)
dobj(representing-34, increase-38)
case(levels-43, in-39)
amod(levels-43, unbound-40)
compound(levels-43, ketorolac-41)
compound(levels-43, plasma-42)
nmod(increase-38, levels-43)
punct(indicate-4, .-44)

amod(concentrations-2, Therapeutic-1)
nsubj(alter-20, concentrations-2)
case(digoxin-4, of-3)
nmod(concentrations-2, digoxin-4)
punct(digoxin-4, ,-5)
conj(digoxin-4, warfarin-6)
punct(digoxin-4, ,-7)
conj(digoxin-4, ibuprofen-8)
punct(digoxin-4, ,-9)
conj(digoxin-4, naproxen-10)
punct(digoxin-4, ,-11)
conj(digoxin-4, piroxicam-12)
punct(digoxin-4, ,-13)
conj(digoxin-4, acetaminophen-14)
punct(digoxin-4, ,-15)
compound(andtolbutamide-17, phenytoin-16)
conj(digoxin-4, andtolbutamide-17)
aux(alter-20, did-18)
neg(alter-20, not-19)
root(ROOT-0, alter-20)
compound(binding-24, ketorolac-21)
compound(binding-24, tromethamine-22)
compound(binding-24, protein-23)
dobj(alter-20, binding-24)
punct(alter-20, .-25)

case(study-3, In-1)
det(study-3, a-2)
nmod(coadministered-11, study-3)
acl(study-3, involving-4)
nummod(volunteers-7, 12-5)
amod(volunteers-7, adult-6)
dobj(involving-4, volunteers-7)
punct(coadministered-11, ,-8)
nsubjpass(coadministered-11, TORADOLORAL-9)
auxpass(coadministered-11, was-10)
root(ROOT-0, coadministered-11)
case(dose-15, with-12)
det(dose-15, a-13)
amod(dose-15, single-14)
nmod(coadministered-11, dose-15)
case(warfarin-19, of-16)
nummod(warfarin-19, 25-17)
compound(warfarin-19, mg-18)
nmod(dose-15, warfarin-19)
punct(coadministered-11, ,-20)
advcl(coadministered-11, causing-21)
neg(changes-24, no-22)
amod(changes-24, significant-23)
dobj(causing-21, changes-24)
case(pharmacokinetics-26, in-25)
nmod(changes-24, pharmacokinetics-26)
cc(pharmacokinetics-26, or-27)
conj(pharmacokinetics-26, pharmacodynamics-28)
case(warfarin-30, of-29)
nmod(pharmacokinetics-26, warfarin-30)
punct(coadministered-11, .-31)

case(study-3, In-1)
det(study-3, another-2)
nmod(given-9, study-3)
punct(given-9, ,-4)
compound(IM-7, TORADOLIV-5)
punct(IM-7, /-6)
nsubjpass(given-9, IM-7)
auxpass(given-9, was-8)
root(ROOT-0, given-9)
case(doses-12, with-10)
nummod(doses-12, two-11)
nmod(given-9, doses-12)
case(U-15, of-13)
nummod(U-15, 5000-14)
nmod(doses-12, U-15)
case(heparin-17, of-16)
nmod(U-15, heparin-17)
case(volunteers-21, to-18)
nummod(volunteers-21, 11-19)
amod(volunteers-21, healthy-20)
nmod(doses-12, volunteers-21)
punct(given-9, ,-22)
advcl(given-9, resulting-23)
case(time-29, in-24)
det(time-29, a-25)
amod(time-29, mean-26)
compound(time-29, template-27)
compound(time-29, bleeding-28)
nmod(resulting-23, time-29)
case(minutes-32, of-30)
nummod(minutes-32, 6.4-31)
nmod(time-29, minutes-32)
punct(min-37, -LRB--33)
compound(11.4-36, 3.2-34)
dep(11.4-36, to-35)
nummod(min-37, 11.4-36)
appos(minutes-32, min-37)
punct(min-37, -RRB--38)
case(mean-42, compared-39)
case(mean-42, to-40)
det(mean-42, a-41)
advcl(resulting-23, mean-42)
case(minutes-45, of-43)
nummod(minutes-45, 6.0-44)
nmod(mean-42, minutes-45)
punct(min-50, -LRB--46)
compound(7.5-49, 3.4-47)
dep(7.5-49, to-48)
nummod(min-50, 7.5-49)
appos(minutes-45, min-50)
punct(min-50, -RRB--51)
case(heparin-53, for-52)
nmod(mean-42, heparin-53)
advmod(heparin-53, alone-54)
cc(heparin-53, and-55)
nummod(minutes-57, 5.1-56)
conj(heparin-53, minutes-57)
punct(min-62, -LRB--58)
compound(8.5-61, 3.5-59)
dep(8.5-61, to-60)
nummod(min-62, 8.5-61)
appos(minutes-57, min-62)
punct(min-62, -RRB--63)
case(placebo-65, for-64)
nmod(heparin-53, placebo-65)
punct(given-9, .-66)

mark(indicate-6, Although-1)
det(results-3, these-2)
nsubj(indicate-6, results-3)
aux(indicate-6, do-4)
neg(indicate-6, not-5)
advcl(done-27, indicate-6)
det(interaction-9, a-7)
amod(interaction-9, significant-8)
dobj(indicate-6, interaction-9)
case(TORADOL-11, between-10)
nmod(interaction-9, TORADOL-11)
cc(TORADOL-11, and-12)
conj(TORADOL-11, warfarin-13)
cc(warfarin-13, or-14)
conj(warfarin-13, heparin-15)
punct(done-27, ,-16)
det(administration-18, the-17)
nsubjpass(done-27, administration-18)
case(TORADOL-20, of-19)
nmod(administration-18, TORADOL-20)
case(patients-22, to-21)
nmod(administration-18, patients-22)
acl(patients-22, taking-23)
dobj(taking-23, anticoagulants-24)
aux(done-27, should-25)
auxpass(done-27, be-26)
root(ROOT-0, done-27)
advmod(cautiously-29, extremely-28)
advmod(done-27, cautiously-29)
punct(done-27, ,-30)
cc(done-27, and-31)
nsubjpass(monitored-36, patients-32)
aux(monitored-36, should-33)
auxpass(monitored-36, be-34)
advmod(monitored-36, closely-35)
conj(done-27, monitored-36)
punct(done-27, .-37)

root(ROOT-0, Furosemide-1)
punct(Furosemide-1, :-2)
compound(IM-6, TORADOL-3)
nummod(TORADOL-3, IV-4)
punct(IM-6, /-5)
nsubj(reduced-7, IM-6)
dep(Furosemide-1, reduced-7)
det(response-10, the-8)
amod(response-10, diuretic-9)
dobj(reduced-7, response-10)
case(furosemide-12, to-11)
nmod(response-10, furosemide-12)
case(subjects-16, in-13)
amod(subjects-16, normovolemic-14)
amod(subjects-16, healthy-15)
nmod(response-10, subjects-16)
case(%-20, by-17)
advmod(20-19, approximately-18)
nummod(%-20, 20-19)
nmod(reduced-7, %-20)
punct(output-26, -LRB--21)
compound(output-26, mean-22)
compound(output-26, sodium-23)
cc(sodium-23, and-24)
conj(sodium-23, urinary-25)
nsubj(decreased-27, output-26)
acl:relcl(%-20, decreased-27)
nummod(%-29, 17-28)
dobj(decreased-27, %-29)
punct(reduced-7, -RRB--30)
punct(Furosemide-1, .-31)

root(ROOT-0, Probenecid-1)
punct(Probenecid-1, :-2)
amod(administration-4, Concomitant-3)
nsubj(resulted-10, administration-4)
case(ORAL-7, of-5)
compound(ORAL-7, TORADOL-6)
nmod(administration-4, ORAL-7)
cc(ORAL-7, and-8)
conj(ORAL-7, probenecid-9)
appos(Probenecid-1, resulted-10)
case(clearance-13, in-11)
amod(clearance-13, decreased-12)
nmod(resulted-10, clearance-13)
case(ketorolac-15, of-14)
nmod(clearance-13, ketorolac-15)
cc(ketorolac-15, and-16)
amod(increases-18, significant-17)
conj(ketorolac-15, increases-18)
case(levels-22, in-19)
compound(levels-22, ketorolac-20)
compound(levels-22, plasma-21)
nmod(clearance-13, levels-22)
punct(increased-26, -LRB--23)
amod(AUC-25, total-24)
nsubj(increased-26, AUC-25)
dep(levels-22, increased-26)
advmod(threefold-28, approximately-27)
advmod(increased-26, threefold-28)
case(5.4-30, from-29)
nmod(increased-26, 5.4-30)
dep(17.8-32, to-31)
nummod(g-34, 17.8-32)
compound(g-34, m-33)
dep(5.4-30, g-34)
punct(g-34, /-35)
compound(mL-38, h-36)
punct(mL-38, /-37)
dep(g-34, mL-38)
punct(g-34, -RRB--39)
cc(5.4-30, and-40)
amod(half-42, terminal-41)
conj(5.4-30, half-42)
punct(increased-26, --43)
nsubj(increased-45, life-44)
parataxis(increased-26, increased-45)
advmod(twofold-47, approximately-46)
advmod(increased-45, twofold-47)
case(6.6-49, from-48)
nmod(increased-45, 6.6-49)
case(hours-52, to-50)
nummod(hours-52, 15.1-51)
nmod(increased-45, hours-52)
punct(Probenecid-1, .-53)

advmod(contraindicated-10, Therefore-1)
punct(contraindicated-10, ,-2)
amod(use-4, concomitant-3)
nsubjpass(contraindicated-10, use-4)
case(TORADOL-6, of-5)
nmod(use-4, TORADOL-6)
cc(TORADOL-6, and-7)
conj(TORADOL-6, probenecid-8)
auxpass(contraindicated-10, is-9)
root(ROOT-0, contraindicated-10)
punct(contraindicated-10, .-11)

root(ROOT-0, Lithium-1)
punct(Lithium-1, :-2)
nsubjpass(reported-20, Inhibition-3)
case(clearance-7, of-4)
amod(clearance-7, renal-5)
compound(clearance-7, lithium-6)
nmod(Inhibition-3, clearance-7)
punct(Inhibition-3, ,-8)
acl(Inhibition-3, leading-9)
case(increase-12, to-10)
det(increase-12, an-11)
nmod(leading-9, increase-12)
case(concentration-16, in-13)
compound(concentration-16, plasma-14)
compound(concentration-16, lithium-15)
nmod(increase-12, concentration-16)
punct(Inhibition-3, ,-17)
aux(reported-20, has-18)
auxpass(reported-20, been-19)
appos(Lithium-1, reported-20)
case(synthesis-24, with-21)
det(synthesis-24, some-22)
compound(synthesis-24, prostaglandin-23)
nmod(reported-20, synthesis-24)
punct(synthesis-24, --25)
acl(synthesis-24, inhibiting-26)
dobj(inhibiting-26, drugs-27)
punct(Lithium-1, .-28)

det(effect-2, The-1)
nsubjpass(studied-11, effect-2)
case(TORADOL-4, of-3)
nmod(effect-2, TORADOL-4)
case(lithium-7, on-5)
compound(lithium-7, plasma-6)
nmod(effect-2, lithium-7)
aux(studied-11, has-8)
neg(studied-11, not-9)
auxpass(studied-11, been-10)
root(ROOT-0, studied-11)
punct(studied-11, ,-12)
cc(studied-11, but-13)
nsubjpass(reported-25, cases-14)
case(levels-19, of-15)
amod(levels-19, increased-16)
compound(levels-19, lithium-17)
compound(levels-19, plasma-18)
nmod(cases-14, levels-19)
case(therapy-22, during-20)
compound(therapy-22, TORADOL-21)
nmod(cases-14, therapy-22)
aux(reported-25, have-23)
auxpass(reported-25, been-24)
conj(studied-11, reported-25)
punct(studied-11, .-26)

root(ROOT-0, Methotrexate-1)
punct(Methotrexate-1, :-2)
amod(administration-4, Concomitant-3)
nsubjpass(reported-12, administration-4)
case(methotrexate-6, of-5)
nmod(administration-4, methotrexate-6)
cc(administration-4, and-7)
det(NSAIDs-9, some-8)
conj(administration-4, NSAIDs-9)
aux(reported-12, has-10)
auxpass(reported-12, been-11)
dep(Methotrexate-1, reported-12)
mark(reduce-14, to-13)
xcomp(reported-12, reduce-14)
det(clearance-16, the-15)
dobj(reduce-14, clearance-16)
case(methotrexate-18, of-17)
nmod(clearance-16, methotrexate-18)
punct(reported-12, ,-19)
xcomp(reported-12, enhancing-20)
det(toxicity-22, the-21)
dobj(enhancing-20, toxicity-22)
case(methotrexate-24, of-23)
nmod(toxicity-22, methotrexate-24)
punct(Methotrexate-1, .-25)

det(effect-2, The-1)
nsubjpass(studied-11, effect-2)
case(TORADOL-4, of-3)
nmod(effect-2, TORADOL-4)
case(clearance-7, on-5)
compound(clearance-7, methotrexate-6)
nmod(effect-2, clearance-7)
aux(studied-11, has-8)
neg(studied-11, not-9)
auxpass(studied-11, been-10)
root(ROOT-0, studied-11)
punct(studied-11, .-12)

amod(Relaxants-3, Nondepolarizing-1)
compound(Relaxants-3, Muscle-2)
root(ROOT-0, Relaxants-3)
punct(Relaxants-3, :-4)
mark(postmarketing-6, In-5)
advcl(reports-11, postmarketing-6)
dobj(postmarketing-6, experience-7)
expl(reports-11, there-8)
aux(reports-11, have-9)
cop(reports-11, been-10)
dep(Relaxants-3, reports-11)
case(interaction-15, of-12)
det(interaction-15, a-13)
amod(interaction-15, possible-14)
nmod(reports-11, interaction-15)
case(TORADOLIV-17, between-16)
nmod(interaction-15, TORADOLIV-17)
punct(TORADOLIV-17, /-18)
compound(relaxants-23, IM-19)
cc(IM-19, and-20)
conj(IM-19, nondepolarizing-21)
compound(relaxants-23, muscle-22)
dep(TORADOLIV-17, relaxants-23)
nsubj(resulted-25, that-24)
acl:relcl(interaction-15, resulted-25)
case(apnea-27, in-26)
nmod(resulted-25, apnea-27)
punct(Relaxants-3, .-28)

det(use-3, The-1)
amod(use-3, concurrent-2)
nsubjpass(studied-13, use-3)
case(TORADOL-5, of-4)
nmod(use-3, TORADOL-5)
case(relaxants-8, with-6)
compound(relaxants-8, muscle-7)
nmod(use-3, relaxants-8)
aux(studied-13, has-9)
neg(studied-13, not-10)
auxpass(studied-13, been-11)
advmod(studied-13, formally-12)
root(ROOT-0, studied-13)
punct(studied-13, .-14)

compound(Inhibitors-2, ACE-1)
root(ROOT-0, Inhibitors-2)
punct(Inhibitors-2, :-3)
amod(use-5, Concomitant-4)
nsubj(increase-10, use-5)
case(inhibitors-8, of-6)
compound(inhibitors-8, ACE-7)
nmod(use-5, inhibitors-8)
aux(increase-10, may-9)
dep(Inhibitors-2, increase-10)
det(risk-12, the-11)
dobj(increase-10, risk-12)
case(impairment-15, of-13)
amod(impairment-15, renal-14)
nmod(risk-12, impairment-15)
punct(impairment-15, ,-16)
advmod(volume-19, particularly-17)
case(volume-19, in-18)
nmod(impairment-15, volume-19)
punct(impairment-15, --20)
amod(patients-22, depleted-21)
dep(impairment-15, patients-22)
punct(Inhibitors-2, .-23)

amod(Drugs-2, Antiepileptic-1)
root(ROOT-0, Drugs-2)
punct(Drugs-2, :-3)
amod(cases-5, Sporadic-4)
nsubjpass(reported-10, cases-5)
case(seizures-7, of-6)
nmod(cases-5, seizures-7)
aux(reported-10, have-8)
auxpass(reported-10, been-9)
dep(Drugs-2, reported-10)
case(use-13, during-11)
amod(use-13, concomitant-12)
nmod(reported-10, use-13)
case(TORADOL-15, of-14)
nmod(use-13, TORADOL-15)
cc(TORADOL-15, and-16)
amod(drugs-18, antiepileptic-17)
conj(TORADOL-15, drugs-18)
punct(phenytoin-20, -LRB--19)
dep(reported-10, phenytoin-20)
punct(phenytoin-20, ,-21)
appos(phenytoin-20, carbamazepine-22)
punct(phenytoin-20, -RRB--23)
punct(Drugs-2, .-24)

amod(Drugs-2, Psychoactive-1)
root(ROOT-0, Drugs-2)
punct(Drugs-2, :-3)
nsubjpass(reported-7, Hallucinations-4)
aux(reported-7, have-5)
auxpass(reported-7, been-6)
appos(Drugs-2, reported-7)
advmod(used-11, when-8)
nsubjpass(used-11, TORADOL-9)
auxpass(used-11, was-10)
advcl(reported-7, used-11)
case(patients-13, in-12)
nmod(used-11, patients-13)
acl(patients-13, taking-14)
amod(drugs-16, psychoactive-15)
dobj(taking-14, drugs-16)
punct(fluoxetine-18, -LRB--17)
dep(drugs-16, fluoxetine-18)
punct(fluoxetine-18, ,-19)
appos(fluoxetine-18, thiothixene-20)
punct(fluoxetine-18, ,-21)
appos(fluoxetine-18, alprazolam-22)
punct(fluoxetine-18, -RRB--23)
punct(Drugs-2, .-24)

root(ROOT-0, Morphine-1)
punct(Morphine-1, :-2)
compound(IM-5, TORADOLIV-3)
punct(IM-5, /-4)
nsubjpass(administered-8, IM-5)
aux(administered-8, has-6)
auxpass(administered-8, been-7)
dep(Morphine-1, administered-8)
advmod(administered-8, concurrently-9)
case(morphine-11, with-10)
nmod(administered-8, morphine-11)
case(trials-15, in-12)
amod(trials-15, several-13)
amod(trials-15, clinical-14)
nmod(administered-8, trials-15)
case(pain-18, of-16)
amod(pain-18, postoperative-17)
nmod(trials-15, pain-18)
case(evidence-20, without-19)
nmod(administered-8, evidence-20)
case(interactions-23, of-21)
amod(interactions-23, adverse-22)
nmod(evidence-20, interactions-23)
punct(Morphine-1, .-24)

aux(mix-3, Do-1)
neg(mix-3, not-2)
root(ROOT-0, mix-3)
dobj(mix-3, TORADOL-4)
cc(TORADOL-4, and-5)
conj(TORADOL-4, morphine-6)
case(syringe-10, in-7)
det(syringe-10, the-8)
amod(syringe-10, same-9)
nmod(mix-3, syringe-10)
punct(mix-3, .-11)

expl(is-2, There-1)
root(ROOT-0, is-2)
neg(evidence-4, no-3)
nsubj(is-2, evidence-4)
case(studies-9, in-5)
compound(studies-9, animal-6)
cc(animal-6, or-7)
conj(animal-6, human-8)
nmod(evidence-4, studies-9)
dobj(induces-12, that-10)
nsubj(induces-12, TORADOL-11)
acl:relcl(studies-9, induces-12)
cc(induces-12, or-13)
conj(induces-12, inhibits-14)
amod(enzymes-16, hepatic-15)
dobj(induces-12, enzymes-16)
amod(enzymes-16, capable-17)
mark(metabolizing-19, of-18)
advcl(capable-17, metabolizing-19)
dobj(metabolizing-19, itself-20)
cc(itself-20, or-21)
amod(drugs-23, other-22)
conj(itself-20, drugs-23)
punct(is-2, .-24)

root(ROOT-0, fucking-1)
amod(Synergism-4, empty-2)
compound(Synergism-4, sentence-3)
dobj(fucking-1, Synergism-4)
case(bronchodilators-7, between-5)
compound(bronchodilators-7, xanthine-6)
nmod(Synergism-4, bronchodilators-7)
punct(e-9, -LRB--8)
appos(bronchodilators-7, e-9)
punct(e-9, .-10)

root(ROOT-0, g-1)
punct(g-1, .-2)

punct(theophylline-2, ,-1)
nsubjpass(reported-13, theophylline-2)
punct(theophylline-2, -RRB--3)
punct(theophylline-2, ,-4)
conj(theophylline-2, ephedrine-5)
punct(theophylline-2, ,-6)
cc(theophylline-2, and-7)
amod(bronchodilators-10, other-8)
amod(bronchodilators-10, sympathomimetic-9)
conj(theophylline-2, bronchodilators-10)
aux(reported-13, has-11)
auxpass(reported-13, been-12)
root(ROOT-0, reported-13)
punct(reported-13, .-14)

nsubjpass(considered-4, This-1)
aux(considered-4, should-2)
auxpass(considered-4, be-3)
root(ROOT-0, considered-4)
advmod(prescribed-9, whenever-5)
det(agents-7, these-6)
nsubjpass(prescribed-9, agents-7)
auxpass(prescribed-9, are-8)
advcl(considered-4, prescribed-9)
advmod(prescribed-9, concomitantly-10)
punct(considered-4, .-11)

amod(administration-2, Concurrent-1)
nsubjpass(shown-16, administration-2)
case(dyphylline-4, of-3)
nmod(administration-2, dyphylline-4)
cc(dyphylline-4, and-5)
conj(dyphylline-4, probenecid-6)
punct(administration-2, ,-7)
nsubj(competes-9, which-8)
acl:relcl(administration-2, competes-9)
case(secretion-12, for-10)
amod(secretion-12, tubular-11)
nmod(competes-9, secretion-12)
punct(administration-2, ,-13)
aux(shown-16, has-14)
auxpass(shown-16, been-15)
